id,name,category,description,ingredients,country,kcal,fat,saturates,carbs,sugars,fibre,protein,salt,special,price
1,Japanese ramen noodle soup,soup,"Ramen is a Japanese noodle soup. It consists of Chinese wheat noodles served in a meat or (occasionally) fish-based broth, often flavored with soy sauce or miso, and uses toppings such as sliced pork, nori (dried seaweed), menma, and scallions. Nearly every region in Japan has its own variation of ramen, such as the tonkotsu (pork bone broth) ramen of Kyushu and the miso ramen of Hokkaido. Mazemen is the name of a ramen dish that is not served in a soup, but rather with a sauce (such as tare), like noodles that are served with a sweet and sour sauce.","chicken, garlica, soy sauce, ginger, ramen noodles, pork, eggs, corn, onions",Japan,626,12g,3g,75g,7g,6g,51g,4.9g,,35
2,Japanese rice/gohan,meal,"Takikomi Gohan is a Japanese rice dish which short-grain rice are cooked with vegetables, mushrooms, seafood or meat.  It’s usually seasoned with Japanese stock (dashi) and soy sauce.","sushi rice, dashi, pickles, nori, sliced spring onions",Japan,259,1g,0g,58g,2g,0g,5g,0.3g,"gluten-free, vegan, egg-free, vegetarian, dairy-free",28
3,Miso Soup,soup,"Miso soup (味噌汁, misoshiru) is a traditional Japanese soup consisting of a dashi stock into which softened miso paste is mixed. In addition, there are many optional ingredients that may be added depending on regional and seasonal recipes, and personal preference. Along with suimono (clear soup), Miso soup is considered to be one of the two basic soup types of Japanese cuisine.","wakame seaweed, dashi, tofu, miso paste, spring onion",Japan,99,4g,0.4g,9g,1g,1g,7g,2.44g,"dairy-free, egg-free, vegan, vegetarian",39
4,Smoked salmon & avocado sushi,meal,"Smoked salmon & avocado sushi. Sushi is a Japanese dish of prepared vinegared rice , usually with some sugar and salt, accompanying a variety of ingredients, such as seafood, often raw, vegetables, and occasionally tropical fruits. Styles of sushi and its presentation vary widely, but the one key ingredient is ""sushi rice"", also referred to as shari, or sumeshi. Sushi is traditionally made with medium-grain white rice, though it can be prepared with brown rice or short-grain rice. It is very often prepared with seafood, such as squid, eel, yellowtail, salmon, tuna or imitation crab meat. Many types of sushi are vegetarian. It is often served with pickled ginger (gari), wasabi, and soy sauce. Daikon radish or pickled daikon (takuan) are popular garnishes for the dish.","sushi rice, vinegar, sugar, avocado, seaweed, smoked salmon, chives, soy sauce",Japan,49,2g,0g,7g,0g,1g,2g,0.24g,,8
5,Beetroot & avocado nori rolls with wasabi dipping sauce,meal,"Beetroot & avocado nori rolls with wasabi dipping sauce. Sushi is a Japanese dish of prepared vinegared rice , usually with some sugar and salt, accompanying a variety of ingredients, such as seafood, often raw, vegetables, and occasionally tropical fruits. Styles of sushi and its presentation vary widely, but the one key ingredient is ""sushi rice"", also referred to as shari, or sumeshi. Sushi is traditionally made with medium-grain white rice, though it can be prepared with brown rice or short-grain rice. It is very often prepared with seafood, such as squid, eel, yellowtail, salmon, tuna or imitation crab meat. Many types of sushi are vegetarian. It is often served with pickled ginger (gari), wasabi, and soy sauce. Daikon radish or pickled daikon (takuan) are popular garnishes for the dish.","beetroot, seaweed, avocado, sesame seeds, wasabi, soy sauce, sesame oil",Japan,32,2g,1g,1g,1g,1g,1g,0.3g,"vegetarian, vegan, egg-free, dairy-free",26
6,Gyoza,meal,"Gyoza, or Japanese pan-fried dumplings, are as ubiquitous as ramen in Japan. You can find these mouthwatering dumplings being served at specialty shops, izakaya, ramen shops, grocery stores or even at festivals.","cornflour, gyoza skins, vegetable oil, spring onions, cabbages, ginger, garlic, chestnuts, soy sauce, oyster sauce, saké, sesame oil, minced pork, soy sauce, rice vinegar, sesame oil",Japan,197,8g,2g,23g,1g,1g,8g,1.4g,,35
7,Yaki udon,meal,Yaki udon is a stir fried Japanese udon noodle dish made with an assortment of vegetables and protein. It’s stir fried with a savory sauce made of soy sauce and mirin. This is different from yakisoba because they are made with different noodles. Yakisoba is also a stir fried Japanese noodles dish but the noodles used are much thinner. But this is not to be confused with soba noodles which are actually made out of buckwheat flour.,"udon noodles, sesame oil, onion, white cabbage, shiitake mushrooms, spring onions, soy sauce, sugar",Japan,486,14g,2g,73g,35g,10g,12g,3.3g,vegetarian,23
8,Onigiri - Japanese Rice Balls,meal,"Onigiri, also known as Japanese rice ball is a great example of how inventive Japanese cuisine can be.  It is also a Japanese comfort food made from steamed rice formed into the typical triangular, ball, or cylinder shapes and usually wrapped with nori (dried seaweed).","seaweed, rice, salt, sesame seeds",Japan,386,1g,1g,87g,1g,1g,7g,0.5g,"vegetarian, vegan, egg-free, dairy-free",11
9,Mochi,sweet,"Mochi is Japanese rice cake made of mochigome, a short-grain glutinous rice*. It’s naturally white, sticky, elastic, and chewy. It tastes like rice without filling or coating, but mochi is all about the texture. There is no other food that has this unique texture similar to mochi.","beans, adzuki, rice flour, matcha, green tea, sugar, cornstarch",Japan,213,0.2g,0g,40g,6.4g,1.1g,2.8g,0.5g,"vegetarian, vegan, egg-free, dairy-free",33
10,Vegan ramen,soup,"Ramen broth can be made many different ways, but to keep mine vegan-friendly I went with vegetable broth infused with ginger, onion, garlic and dried shiitake mushrooms (which you can find at most grocery (and all Asian) stores).","garlic, ginger, miso paste, tahini, shiitake mushrooms, soy sauce, tofu, cornflour, vegetable oil, rice noodles, pak choi, spring onion, carrot, sesame oil, sriracha, chopped coriander, crushed peanuts, nori",Japan,556,19g,3g,69g,9g,9g,22g,3.92,"vegetarian, vegan, egg-free, dairy-free",5
11,Yakisoba - Japanese Stir Fry Noodles,meal,"Yakisoba is a classic Japanese stir fry noodles dish with pork and vegetables, and it’s seasoned with a sweet & savory sauce similar to Worcestershire sauce.","soy sauce, sugar, oil, chicken, noodles, veggies, garlic",Japan,444,12g,3g,65g,7g,9g,30g,0.5g,,20
12,Quiche Lorraine,meal,"Quiche (/ˈkiːʃ/ KEESH) is a French tart consisting of pastry crust filled with savoury custard and pieces of cheese, meat, seafood or vegetables. The best-known variant is quiche Lorraine, which includes lardons or bacon. Quiche can be served hot or cold. It is popular worldwide","olive oil, bacon, eggs, cream, milk, cheese, nutmeg",France,588,41.9g,22.4g,29g,0g,1g,25g,2.45g,,12
13,White chocolate crème brûlée,sweet,"Serve this super-creamy chocolate dessert on its own, or as part of an 'assiete' of mini chocolate puddings","cream, white chocolate, vanilla, egg yolk, sugar",France,451,41g,22g,17g,17g,17g,5g,0.09g,,10
